GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2016 inflation-adjusted dollars)
0400000US09,09,Connecticut,19708,340
0500000US09001,09001,"Fairfield County, Connecticut",23588,803
0500000US09003,09003,"Hartford County, Connecticut",17756,533
0500000US09005,09005,"Litchfield County, Connecticut",20437,2468
0500000US09007,09007,"Middlesex County, Connecticut",26178,2458
0500000US09009,09009,"New Haven County, Connecticut",17307,561
0500000US09011,09011,"New London County, Connecticut",18992,1323
0500000US09013,09013,"Tolland County, Connecticut",18635,1798
0500000US09015,09015,"Windham County, Connecticut",13557,1211
