GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2017 inflation-adjusted dollars)
0400000US09,09,Connecticut,17321,896
0500000US09001,09001,"Fairfield County, Connecticut",20979,2451
0500000US09003,09003,"Hartford County, Connecticut",16894,1563
0500000US09005,09005,"Litchfield County, Connecticut",19631,4178
0500000US09007,09007,"Middlesex County, Connecticut",18343,4137
0500000US09009,09009,"New Haven County, Connecticut",15259,1617
0500000US09011,09011,"New London County, Connecticut",14673,1514
0500000US09013,09013,"Tolland County, Connecticut",17182,3421
0500000US09015,09015,"Windham County, Connecticut",16160,2764
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",-,**
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",11248,7889
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",14217,2908
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",32395,20373
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",18303,4727
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",66180,62134
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",29841,12760
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",23894,12232
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",21320,18674
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",12727,9145
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",6006,6020
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",10155,6312
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",24077,7903
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",17454,18953
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",8353,5420
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",13762,5562
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",26039,5977
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",14332,4161
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",10162,4710
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",12786,9558
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",54543,36422
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",33902,22066
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",25236,20603
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",17083,21992
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",14373,7249
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",12643,3875
0600000US0900312270,0900312270,"Canton town, Hartford County, Connecticut",18403,12514
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",25392,18970
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",15902,4104
0600000US0900324800,0900324800,"East Windsor town, Hartford County, Connecticut",15117,12849
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",11502,3778
0600000US0900327600,0900327600,"Farmington town, Hartford County, Connecticut",20688,12025
0600000US0900331240,0900331240,"Glastonbury town, Hartford County, Connecticut",17032,6993
0600000US0900332640,0900332640,"Granby town, Hartford County, Connecticut",24733,15401
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",12995,2029
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",10631,10749
0600000US0900344700,0900344700,"Manchester town, Hartford County, Connecticut",21930,7529
0600000US0900350440,0900350440,"New Britain town, Hartford County, Connecticut",11389,3188
0600000US0900352140,0900352140,"Newington town, Hartford County, Connecticut",20644,7292
0600000US0900360120,0900360120,"Plainville town, Hartford County, Connecticut",11452,11714
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",14600,8052
0600000US0900368940,0900368940,"Simsbury town, Hartford County, Connecticut",34837,26782
0600000US0900370550,0900370550,"Southington town, Hartford County, Connecticut",29528,12296
0600000US0900371390,0900371390,"South Windsor town, Hartford County, Connecticut",17306,7317
0600000US0900374540,0900374540,"Suffield town, Hartford County, Connecticut",23057,23379
0600000US0900382590,0900382590,"West Hartford town, Hartford County, Connecticut",22774,7161
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",27223,10067
0600000US0900387000,0900387000,"Windsor town, Hartford County, Connecticut",29136,15299
0600000US0900387070,0900387070,"Windsor Locks town, Hartford County, Connecticut",13946,6996
0600000US0900504930,0900504930,"Bethlehem town, Litchfield County, Connecticut",42014,12523
0600000US0900516050,0900516050,"Colebrook town, Litchfield County, Connecticut",-,**
0600000US0900517240,0900517240,"Cornwall town, Litchfield County, Connecticut",32881,20162
0600000US0900540290,0900540290,"Kent town, Litchfield County, Connecticut",16179,8682
0600000US0900543370,0900543370,"Litchfield town, Litchfield County, Connecticut",10428,9204
0600000US0900552630,0900552630,"New Milford town, Litchfield County, Connecticut",21557,11495
0600000US0900553470,0900553470,"Norfolk town, Litchfield County, Connecticut",37400,22744
0600000US0900560750,0900560750,"Plymouth town, Litchfield County, Connecticut",8371,5583
0600000US0900565930,0900565930,"Roxbury town, Litchfield County, Connecticut",-,**
0600000US0900566420,0900566420,"Salisbury town, Litchfield County, Connecticut",64022,26621
0600000US0900576570,0900576570,"Torrington town, Litchfield County, Connecticut",15255,3390
0600000US0900579510,0900579510,"Warren town, Litchfield County, Connecticut",93658,77986
0600000US0900579720,0900579720,"Washington town, Litchfield County, Connecticut",79280,313194
0600000US0900580490,0900580490,"Watertown town, Litchfield County, Connecticut",9569,11810
0600000US0900586440,0900586440,"Winchester town, Litchfield County, Connecticut",12093,9548
0600000US0900700000,0900700000,"County subdivisions not defined, Middlesex County, Connecticut",-,**
0600000US0900715350,0900715350,"Clinton town, Middlesex County, Connecticut",16431,13117
0600000US0900718080,0900718080,"Cromwell town, Middlesex County, Connecticut",37786,18478
0600000US0900720810,0900720810,"Durham town, Middlesex County, Connecticut",19281,20640
0600000US0900722280,0900722280,"East Haddam town, Middlesex County, Connecticut",13380,14732
0600000US0900722490,0900722490,"East Hampton town, Middlesex County, Connecticut",15836,11145
0600000US0900726270,0900726270,"Essex town, Middlesex County, Connecticut",22334,23827
0600000US0900735230,0900735230,"Haddam town, Middlesex County, Connecticut",93442,86576
0600000US0900747080,0900747080,"Middlefield town, Middlesex County, Connecticut",28239,23742
0600000US0900747360,0900747360,"Middletown town, Middlesex County, Connecticut",15014,4961
0600000US0900757320,0900757320,"Old Saybrook town, Middlesex County, Connecticut",4019,7104
0600000US0900761800,0900761800,"Portland town, Middlesex County, Connecticut",33332,19869
0600000US0900781680,0900781680,"Westbrook town, Middlesex County, Connecticut",30188,15553
0600000US0900900000,0900900000,"County subdivisions not defined, New Haven County, Connecticut",-,**
0600000US0900901220,0900901220,"Ansonia town, New Haven County, Connecticut",8706,3656
0600000US0900907310,0900907310,"Branford town, New Haven County, Connecticut",9925,4599
0600000US0900914160,0900914160,"Cheshire town, New Haven County, Connecticut",9257,6203
0600000US0900919550,0900919550,"Derby town, New Haven County, Connecticut",26887,11588
0600000US0900922910,0900922910,"East Haven town, New Haven County, Connecticut",13489,5983
0600000US0900934950,0900934950,"Guilford town, New Haven County, Connecticut",51904,22573
0600000US0900935650,0900935650,"Hamden town, New Haven County, Connecticut",13487,4427
0600000US0900944560,0900944560,"Madison town, New Haven County, Connecticut",24254,21488
0600000US0900946520,0900946520,"Meriden town, New Haven County, Connecticut",10348,3028
